TopK,Mode,Accuracy (Float32),Precision (Float32),Recall (Float32),F1 Score (Float32),ROC AUC (Float32),PR AUC (Float32),MCC (Float32),Elapsed (s),Model Size (KB),Accuracy (INT8),Precision (INT8),Recall (INT8),F1 Score (INT8),ROC AUC (INT8),PR AUC (INT8),MCC (INT8),Speedup (x)
5,Float32,0.9094427244582043,0.8333333333333334,0.47619047619047616,0.6060606060606061,0.9245635999942438,0.7417730481998339,0.5871746261748229,0.0262,37.5,,,,,,,,
5,INT8,,,,,,,,0.0162,16.28,0.9022187822497421,0.8333333333333334,0.4144620811287478,0.5535924617196702,0.8679591174302568,0.6696158341737808,0.5445863745665623,1.62
10,Float32,0.9579463364293086,0.8568904593639576,0.855379188712522,0.8561341571050309,0.9855703247463095,0.9270753803563017,0.8315085473680942,0.0162,40.0,,,,,,,,
10,INT8,,,,,,,,0.0161,16.91,0.9468524251805985,0.8560157790927022,0.7654320987654321,0.8081936685288641,0.9369535172899733,0.8626515872691347,0.7790961774423317,1.01
15,Float32,0.9700722394220846,0.8921739130434783,0.9047619047619048,0.8984238178633975,0.9922268539171935,0.9664585136284188,0.8809053883214379,0.0163,42.5,,,,,,,,
15,INT8,,,,,,,,0.0161,17.53,0.9641382868937048,0.8992537313432836,0.8500881834215167,0.8739800543970988,0.9581916242538786,0.9162171869829092,0.8535521420285928,1.01
20,Float32,0.97781217750258,0.9478584729981379,0.8977072310405644,0.9221014492753623,0.9954258680963626,0.9790194526343904,0.9096330206061545,0.017,45.0,,,,,,,,
20,INT8,,,,,,,,0.0154,18.16,0.9685242518059856,0.9423459244532804,0.8359788359788359,0.8859813084112149,0.9602798844261522,0.9225396124999901,0.8698934820954478,1.1
25,Float32,0.9821981424148607,0.9662921348314607,0.91005291005291,0.9373297002724795,0.9964342877609726,0.9843100448694283,0.9275321722832692,0.0171,47.5,,,,,,,,
25,INT8,,,,,,,,0.0159,18.78,0.9705882352941176,0.9557344064386318,0.8377425044091711,0.8928571428571429,0.9590769229129257,0.925891588481104,0.8784514299658917,1.08
30,Float32,0.9827141382868937,0.9612546125461254,0.9188712522045855,0.939585211902615,0.9967892600107772,0.9860279969828097,0.9298271163934593,0.0175,50.0,,,,,,,,
30,INT8,,,,,,,,0.0161,19.41,0.9731682146542827,0.9584158415841584,0.8536155202821869,0.9029850746268657,0.9580365237663515,0.92756412279673,0.8894801545036122,1.09
35,Float32,0.9865841073271414,0.9656419529837251,0.9417989417989417,0.9535714285714286,0.9981771695280308,0.9908781966050896,0.9458330471237216,0.0171,52.5,,,,,,,,
35,INT8,,,,,,,,0.0156,20.03,0.977296181630547,0.9614643545279383,0.8800705467372134,0.9189686924493554,0.9692293424538816,0.94113942070656,0.9069954876714925,1.1
40,Float32,0.989938080495356,0.9731182795698925,0.9576719576719577,0.9653333333333334,0.9989057687254523,0.9958553638048881,0.9594907711359061,0.0178,55.0,,,,,,,,
40,INT8,,,,,,,,0.0157,20.66,0.9814241486068112,0.9661016949152542,0.9047619047619048,0.9344262295081968,0.9704229766182018,0.9482815707964942,0.9242935090714549,1.13
45,Float32,0.9891640866873065,0.972972972972973,0.9523809523809523,0.9625668449197861,0.9986232833014339,0.9941445779103978,0.9563076235666043,0.0185,57.5,,,,,,,,
45,INT8,,,,,,,,0.0154,21.28,0.9816821465428277,0.9714828897338403,0.9012345679012346,0.9350411710887465,0.9718199469886787,0.950814810552889,0.92527860930483,1.2
50,Float32,0.9901960784313726,0.9748653500897666,0.9576719576719577,0.9661921708185054,0.9986915061962911,0.993394788768417,0.960511448612005,0.0179,60.0,,,,,,,,
50,INT8,,,,,,,,0.0157,21.91,0.9819401444788441,0.9644859813084112,0.91005291005291,0.9364791288566243,0.9698897187564458,0.936876846623728,0.926493965436546,1.14
55,Float32,0.9889060887512899,0.9678571428571429,0.9559082892416225,0.9618456078083407,0.9986030296295231,0.9942391349262846,0.955380566691605,0.0181,62.5,,,,,,,,
55,INT8,,,,,,,,0.0156,22.53,0.9821981424148607,0.969811320754717,0.9065255731922398,0.9371011850501367,0.9707235837486669,0.9479211281636744,0.9274625790391285,1.16
60,Float32,0.9896800825593395,0.9696969696969697,0.9594356261022927,0.9645390070921985,0.9984505940988262,0.9923867795540285,0.9585191309830734,0.0176,65.0,,,,,,,,
60,INT8,,,,,,,,0.0164,23.16,0.9819401444788441,0.9662288930581614,0.908289241622575,0.9363636363636364,0.9683221911488255,0.9379909878790299,0.9264532248103897,1.07
